,rank_2023,name,country_2023,number_of_students_2023,student_per_staff_2023,intl_students_percentage_2023,female_male_ratio_2023,isr_percentage_2023,female_ratio_2023,male_ratio_2023,year_2023,rank_2024,country_2024,number_of_students_2024,student_per_staff_2024,intl_students_percentage_2024,female_male_ratio_2024,isr_percentage_2024,female_ratio_2024,male_ratio_2024,year_2024
0,1.0,University of Oxford,United Kingdom,20965.0,10.6,42.0,48 : 52,,48.0,52.0,2023-01-01,1.0,United Kingdom,21750.0,10.9,42.0,49 : 51,23%,49.0,51.0,2024-01-01
1,2.0,Harvard University,United States,21887.0,9.6,25.0,50 : 50,,50.0,50.0,2023-01-01,4.0,United States,20050.0,9.0,25.0,51 : 49,12%,51.0,49.0,2024-01-01
2,3.0,University of Cambridge,United Kingdom,20185.0,11.3,39.0,47 : 53,,47.0,53.0,2023-01-01,5.0,United Kingdom,20565.0,11.5,38.0,48 : 52,27%,48.0,52.0,2024-01-01
3,3.0,Stanford University,United States,16164.0,7.1,24.0,46 : 54,,46.0,54.0,2023-01-01,2.0,United States,14517.0,6.4,23.0,47 : 53,22%,47.0,53.0,2024-01-01
4,5.0,Massachusetts Institute of Technology,United States,11415.0,8.2,33.0,40 : 60,,40.0,60.0,2023-01-01,3.0,United States,11085.0,8.0,33.0,41 : 59,40%,41.0,59.0,2024-01-01
5,6.0,California Institute of Technology,United States,2237.0,6.2,34.0,37 : 63,,37.0,63.0,2023-01-01,7.0,United States,2240.0,6.1,33.0,37 : 63,49%,37.0,63.0,2024-01-01
6,7.0,Princeton University,United States,8279.0,8.0,23.0,46 : 54,,46.0,54.0,2023-01-01,6.0,United States,7753.0,7.3,23.0,47 : 53,43%,47.0,53.0,2024-01-01
7,8.0,"University of California, Berkeley",United States,40921.0,18.4,24.0,52 : 48,,52.0,48.0,2023-01-01,9.0,United States,39991.0,17.9,22.0,52 : 48,36%,52.0,48.0,2024-01-01
8,9.0,Yale University,United States,13482.0,5.9,21.0,52 : 48,,52.0,48.0,2023-01-01,10.0,United States,11924.0,5.2,21.0,51 : 49,13%,51.0,49.0,2024-01-01
9,10.0,Imperial College London,United Kingdom,18545.0,11.2,61.0,40 : 60,,40.0,60.0,2023-01-01,8.0,United Kingdom,20275.0,11.8,61.0,42 : 58,28%,42.0,58.0,2024-01-01
10,11.0,Columbia University,United States,21781.0,4.5,38.0,n/a,,,,2023-01-01,17.0,United States,25914.0,5.2,35.0,n/a,23%,,,2024-01-01
11,11.0,ETH Zurich,Switzerland,21665.0,14.8,41.0,33 : 67,,33.0,67.0,2023-01-01,11.0,Switzerland,22619.0,15.4,43.0,33 : 67,43%,33.0,67.0,2024-01-01
12,13.0,The University of Chicago,United States,15366.0,6.0,36.0,47 : 53,,47.0,53.0,2023-01-01,13.0,United States,15792.0,6.2,36.0,47 : 53,29%,47.0,53.0,2024-01-01
13,14.0,University of Pennsylvania,United States,21453.0,6.3,23.0,53 : 47,,53.0,47.0,2023-01-01,16.0,United States,21312.0,6.2,22.0,54 : 46,13%,54.0,46.0,2024-01-01
14,15.0,Johns Hopkins University,United States,17584.0,4.7,29.0,53 : 47,,53.0,47.0,2023-01-01,15.0,United States,15772.0,4.1,28.0,56 : 44,15%,56.0,44.0,2024-01-01
15,16.0,Tsinghua University,China,38324.0,11.6,10.0,n/a,,,,2023-01-01,12.0,China,38518.0,11.2,10.0,n/a,42%,,,2024-01-01
16,17.0,Peking University,China,31994.0,10.3,19.0,n/a,,,,2023-01-01,14.0,China,33064.0,10.9,14.0,n/a,33%,,,2024-01-01
17,18.0,University of Toronto,Canada,77468.0,25.8,26.0,56 : 44,,56.0,44.0,2023-01-01,21.0,Canada,79282.0,25.8,27.0,56 : 44,17%,56.0,44.0,2024-01-01
18,19.0,National University of Singapore,Singapore,32337.0,19.8,25.0,51 : 49,,51.0,49.0,2023-01-01,19.0,Singapore,33334.0,20.0,24.0,49 : 51,28%,49.0,51.0,2024-01-01
19,20.0,Cornell University,United States,24027.0,10.3,26.0,51 : 49,,51.0,49.0,2023-01-01,20.0,United States,23620.0,10.0,24.0,51 : 49,25%,51.0,49.0,2024-01-01
20,21.0,"University of California, Los Angeles",United States,42434.0,9.7,16.0,56 : 44,,56.0,44.0,2023-01-01,18.0,United States,42634.0,9.6,15.0,56 : 44,21%,56.0,44.0,2024-01-01
21,22.0,UCL,United Kingdom,36790.0,10.3,60.0,59 : 41,,59.0,41.0,2023-01-01,22.0,United Kingdom,41110.0,11.3,61.0,59 : 41,21%,59.0,41.0,2024-01-01
22,23.0,University of Michigan-Ann Arbor,United States,45912.0,8.2,17.0,50 : 50,,50.0,50.0,2023-01-01,23.0,United States,45783.0,8.1,16.0,51 : 49,22%,51.0,49.0,2024-01-01
23,24.0,New York University,United States,36337.0,9.8,42.0,57 : 43,,57.0,43.0,2023-01-01,27.0,United States,48461.0,11.8,42.0,58 : 42,21%,58.0,42.0,2024-01-01
24,25.0,Duke University,United States,16091.0,4.2,24.0,52 : 48,,52.0,48.0,2023-01-01,26.0,United States,15527.0,3.9,18.0,52 : 48,15%,52.0,48.0,2024-01-01
25,26.0,Northwestern University,United States,19175.0,13.2,20.0,51 : 49,,51.0,49.0,2023-01-01,28.0,United States,18894.0,13.1,18.0,52 : 48,18%,52.0,48.0,2024-01-01
26,26.0,University of Washington,United States,47727.0,10.8,18.0,55 : 45,,55.0,45.0,2023-01-01,25.0,United States,49486.0,10.1,16.0,56 : 44,20%,56.0,44.0,2024-01-01
27,28.0,Carnegie Mellon University,United States,14305.0,12.9,47.0,44 : 56,,44.0,56.0,2023-01-01,24.0,United States,13562.0,11.9,44.0,44 : 56,43%,44.0,56.0,2024-01-01
28,29.0,University of Edinburgh,United Kingdom,32845.0,11.8,47.0,62 : 38,,62.0,38.0,2023-01-01,30.0,United Kingdom,33940.0,11.5,46.0,61 : 39,24%,61.0,39.0,2024-01-01
29,30.0,Technical University of Munich,Germany,33960.0,40.6,36.0,37 : 63,,37.0,63.0,2023-01-01,30.0,Germany,35506.0,44.4,39.0,37 : 63,36%,37.0,63.0,2024-01-01
30,31.0,University of Hong Kong,Hong Kong,18087.0,18.2,43.0,54 : 46,,54.0,46.0,2023-01-01,35.0,Hong Kong,18103.0,18.3,43.0,55 : 45,36%,55.0,45.0,2024-01-01
31,32.0,"University of California, San Diego",United States,37030.0,11.3,28.0,48 : 52,,48.0,52.0,2023-01-01,34.0,United States,40596.0,12.0,19.0,45 : 55,21%,45.0,55.0,2024-01-01
32,33.0,LMU Munich,Germany,35003.0,34.2,19.0,61 : 39,,61.0,39.0,2023-01-01,38.0,Germany,34622.0,33.5,18.0,62 : 38,21%,62.0,38.0,2024-01-01
33,34.0,University of Melbourne,Australia,49588.0,23.8,47.0,58 : 42,,58.0,42.0,2023-01-01,37.0,Australia,51307.0,25.1,47.0,58 : 42,18%,58.0,42.0,2024-01-01
34,35.0,King’s College London,United Kingdom,28965.0,11.8,52.0,63 : 37,,63.0,37.0,2023-01-01,38.0,United Kingdom,32835.0,13.9,53.0,63 : 37,12%,63.0,37.0,2024-01-01
35,36.0,"Nanyang Technological University, Singapore",Singapore,24651.0,15.1,25.0,48 : 52,,48.0,52.0,2023-01-01,32.0,Singapore,25895.0,16.7,27.0,49 : 51,38%,49.0,51.0,2024-01-01
