,rank,name,country,number_of_students,student_per_staff,intl_students_percentage,female_male_ratio,isr_percentage,female_ratio,male_ratio,year
0,1,University of Oxford,United Kingdom,21750,10.9,42,49 : 51,23%,49.0,51.0,2024-01-01
1,2,Stanford University,United States,14517,6.4,23,47 : 53,22%,47.0,53.0,2024-01-01
2,3,Massachusetts Institute of Technology,United States,11085,8.0,33,41 : 59,40%,41.0,59.0,2024-01-01
3,4,Harvard University,United States,20050,9.0,25,51 : 49,12%,51.0,49.0,2024-01-01
4,5,University of Cambridge,United Kingdom,20565,11.5,38,48 : 52,27%,48.0,52.0,2024-01-01
5,6,Princeton University,United States,7753,7.3,23,47 : 53,43%,47.0,53.0,2024-01-01
6,7,California Institute of Technology,United States,2240,6.1,33,37 : 63,49%,37.0,63.0,2024-01-01
7,8,Imperial College London,United Kingdom,20275,11.8,61,42 : 58,28%,42.0,58.0,2024-01-01
8,9,"University of California, Berkeley",United States,39991,17.9,22,52 : 48,36%,52.0,48.0,2024-01-01
9,10,Yale University,United States,11924,5.2,21,51 : 49,13%,51.0,49.0,2024-01-01
10,11,ETH Zurich,Switzerland,22619,15.4,43,33 : 67,43%,33.0,67.0,2024-01-01
11,12,Tsinghua University,China,38518,11.2,10,n/a,42%,,,2024-01-01
12,13,The University of Chicago,United States,15792,6.2,36,47 : 53,29%,47.0,53.0,2024-01-01
13,14,Peking University,China,33064,10.9,14,n/a,33%,,,2024-01-01
14,15,Johns Hopkins University,United States,15772,4.1,28,56 : 44,15%,56.0,44.0,2024-01-01
15,16,University of Pennsylvania,United States,21312,6.2,22,54 : 46,13%,54.0,46.0,2024-01-01
16,17,Columbia University,United States,25914,5.2,35,n/a,23%,,,2024-01-01
17,18,"University of California, Los Angeles",United States,42634,9.6,15,56 : 44,21%,56.0,44.0,2024-01-01
18,19,National University of Singapore,Singapore,33334,20.0,24,49 : 51,28%,49.0,51.0,2024-01-01
19,20,Cornell University,United States,23620,10.0,24,51 : 49,25%,51.0,49.0,2024-01-01
20,21,University of Toronto,Canada,79282,25.8,27,56 : 44,17%,56.0,44.0,2024-01-01
21,22,UCL,United Kingdom,41110,11.3,61,59 : 41,21%,59.0,41.0,2024-01-01
22,23,University of Michigan-Ann Arbor,United States,45783,8.1,16,51 : 49,22%,51.0,49.0,2024-01-01
23,24,Carnegie Mellon University,United States,13562,11.9,44,44 : 56,43%,44.0,56.0,2024-01-01
